"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"27-Apr-2022","EQ","200.00","200.00","183.61","186.11","184.93","184.78","184.81","223.00","135.51","2,079,309","384,284,037.69","23,819"
"26-Apr-2022","EQ","194.88","194.88","184.47","183.86","186.30","186.11","185.71","223.00","135.51","1,293,913","240,289,093.26","16,425"
"25-Apr-2022","EQ","186.69","186.69","183.25","186.09","184.11","183.86","183.94","223.00","135.51","3,788,167","696,807,308.26","47,974"
"22-Apr-2022","EQ","188.24","188.24","184.75","188.10","186.10","186.09","186.39","223.00","132.00","1,826,897","340,514,418.81","25,820"
"21-Apr-2022","EQ","209.55","209.55","184.41","185.86","188.14","188.10","187.44","223.00","132.00","1,893,836","354,984,508.55","23,963"
"20-Apr-2022","EQ","191.89","191.89","182.20","183.68","185.91","185.86","185.45","223.00","132.00","1,850,293","343,135,485.33","22,181"
"19-Apr-2022","EQ","185.00","187.70","182.40","186.23","183.07","183.68","184.99","223.00","132.00","4,548,205","841,378,413.94","41,021"
"18-Apr-2022","EQ","188.55","188.55","185.25","189.54","186.40","186.23","186.31","223.00","132.00","6,161,166","1,147,883,554.84","71,305"
"13-Apr-2022","EQ","195.00","195.00","189.33","190.42","189.48","189.54","189.99","223.00","132.00","3,323,040","631,331,162.58","24,110"
"12-Apr-2022","EQ","189.86","210.00","189.20","191.67","190.01","190.42","190.16","223.00","132.00","7,386,091","1,404,548,635.63","49,447"
"11-Apr-2022","EQ","193.54","193.54","191.00","192.76","191.74","191.67","191.81","223.00","132.00","3,910,874","750,145,849.39","36,527"
"08-Apr-2022","EQ","195.00","195.00","189.13","191.26","192.75","192.76","192.01","223.00","132.00","2,055,024","394,583,771.05","27,211"
"07-Apr-2022","EQ","193.00","193.00","191.06","193.00","191.10","191.26","191.86","223.00","132.00","2,595,043","497,888,295.52","30,026"
"06-Apr-2022","EQ","194.24","194.24","192.70","194.55","193.05","193.00","193.21","223.00","132.00","2,181,412","421,466,093.40","30,883"
"05-Apr-2022","EQ","196.74","197.15","194.10","195.19","194.33","194.55","195.10","223.00","132.00","5,835,051","1,138,398,819.69","37,707"
"04-Apr-2022","EQ","190.50","195.35","190.50","190.47","194.90","195.19","194.25","223.00","132.00","10,721,051","2,082,548,969.63","58,001"
"01-Apr-2022","EQ","189.94","190.96","185.00","188.87","190.80","190.47","189.29","223.00","132.00","14,131,760","2,674,986,215.96","43,536"
"31-Mar-2022","EQ","190.50","190.50","188.15","188.91","188.90","188.87","189.00","223.00","132.00","2,204,741","416,688,448.94","19,014"
"30-Mar-2022","EQ","191.50","191.50","187.75","187.22","188.80","188.91","188.60","223.00","132.00","3,621,150","682,948,480.30","21,456"
"29-Mar-2022","EQ","190.00","190.00","184.15","186.32","187.40","187.22","186.87","223.00","132.00","2,197,933","410,738,287.68","16,188"
"28-Mar-2022","EQ","188.20","188.20","184.30","185.82","186.34","186.32","185.62","223.00","132.00","3,218,703","597,465,036.52","28,714"
"25-Mar-2022","EQ","187.12","187.12","185.00","186.09","185.91","185.82","185.57","223.00","132.00","5,968,779","1,107,630,765.18","23,729"
"24-Mar-2022","EQ","198.00","198.00","177.80","186.34","185.86","186.09","186.05","223.00","132.00","2,232,760","415,396,251.28","20,235"
"23-Mar-2022","EQ","190.00","190.00","185.00","187.34","186.25","186.34","186.94","223.00","132.00","2,584,326","483,123,793.39","23,411"
"22-Mar-2022","EQ","189.00","193.75","184.20","185.38","187.49","187.34","185.97","223.00","132.00","2,606,331","484,703,361.55","26,787"
"21-Mar-2022","EQ","190.00","190.00","182.00","186.71","185.53","185.38","186.08","223.00","132.00","2,590,277","482,007,157.92","31,563"
"17-Mar-2022","EQ","188.00","188.00","185.20","183.66","186.88","186.71","186.45","223.00","132.00","4,130,440","770,109,012.14","28,508"
"16-Mar-2022","EQ","183.60","183.80","181.80","180.60","183.65","183.66","182.99","223.00","132.00","2,288,980","418,868,418.20","20,130"
"15-Mar-2022","EQ","185.00","185.00","179.51","182.61","180.40","180.60","181.37","223.00","132.00","2,958,912","536,671,252.73","35,901"
"14-Mar-2022","EQ","182.00","182.99","178.35","179.98","182.75","182.61","181.46","223.00","132.00","3,096,236","561,855,825.63","30,260"
"11-Mar-2022","EQ","183.00","183.00","177.16","179.65","179.91","179.98","179.82","223.00","132.00","2,724,636","489,943,921.32","24,982"
"10-Mar-2022","EQ","177.25","183.90","177.25","176.98","179.42","179.65","180.05","223.00","132.00","4,577,829","824,218,913.84","32,961"
"09-Mar-2022","EQ","180.00","180.00","173.15","173.40","177.33","176.98","175.38","223.00","132.00","4,224,355","740,852,840.69","37,890"
"08-Mar-2022","EQ","177.55","177.55","170.26","172.33","173.45","173.40","171.98","223.00","132.00","9,202,552","1,582,674,396.63","59,729"
"07-Mar-2022","EQ","176.90","176.90","171.25","176.26","172.69","172.33","172.23","223.00","132.00","13,669,797","2,354,368,167.22","100,386"
"04-Mar-2022","EQ","178.48","178.48","175.06","178.86","176.49","176.26","176.38","223.00","132.00","8,765,287","1,546,037,676.90","83,642"
"03-Mar-2022","EQ","184.90","184.90","178.30","180.10","179.25","178.86","179.84","223.00","132.00","3,247,919","584,097,924.07","40,071"
"02-Mar-2022","EQ","185.00","185.00","178.30","181.84","180.38","180.10","179.72","223.00","132.00","5,163,914","928,069,275.38","62,949"
"28-Feb-2022","EQ","189.88","189.88","176.10","180.85","181.85","181.84","179.45","223.00","132.00","4,466,025","801,413,553.67","42,415"
"25-Feb-2022","EQ","185.00","185.00","179.00","178.36","181.40","180.85","180.79","223.00","132.00","5,674,475","1,025,904,432.86","43,788"
"24-Feb-2022","EQ","180.60","189.95","177.00","185.05","179.38","178.36","179.48","223.00","132.00","19,565,577","3,511,621,903.39","148,139"
